id,question,A,B,C,D,answer
6,"Khi ấn pittông từ từ xuống để nén khí trong xilanh, thì thông số nào của khí trong xilanh thay đổi?",Nhiệt độ khí giảm,Áp suất khí tăng,Áp suất khí giảm,"Khối lượng khí tăng
Chọn B
TPVL  2.1         CĐTD Hiểu","Đáp án: 
Số hạt U cần cung cấp là (1,91.1017)/(200.1,6.10-13)5,97.1027 hạt
Khối lượng được tiêu thụ là (5,97.1027.235)/(6,02.1023)2330 kg
BẢNG PHÂN TÍCH CÁC CÂU HỎI TRONG ĐỀ ĐI KÈM VỚI BA THÀNH PHẦN NĂNG LỰC:
NHẬN THỨC VẬT LÍ, TÌM HIỂU THẾ GIỚI TỰ NHIÊN DƯỚI GÓC ĐỘ VẬT LÍ, VÀ VẬN DỤNG KIẾN THỨC, KĨ NĂNG ĐÃ HỌC. MỖI THÀNH PHẦN SẼ ĐƯỢC PHÂN LOẠI THEO MỨC ĐỘ HIỂU, BIẾT, VÀ VẬN DỤNG.
Phân tích thành phần năng lực:"
7,Phát biểu nào sau đây là của định luật Charles ?,"Ở áp suất không đổi, thể tích của một khối lượng khí xác định tỉ lệ nghịch với nhiệt độ tuyệt đối của nó.","Ở áp suất không đổi, thể tích của một khối lượng khí xác định tỉ lệ thuận với nhiệt độ tuyệt đối của nó.","Ở áp suất không đổi, thể tích của một khối lượng khí xác định tăng khi nhiệt độ tuyệt đối của nó giảm.","Ở áp suất không đổi, thể tích của một khối lượng khí xác định giảm với nhiệt độ tuyệt đối của nó tăng.
Chọn B
TPVL  1.1         CĐTD biết","Đáp án: 
"
8,"Cho biết khối lượng riêng của không khí ở điều kiện chuẩn (nhiệt độ 273 K, áp suất ) là 1,29 . Trong một căn phòng có thể tích  khi ta tăng nhiệt độ của phòng từ 280 K ở áp suất  đến nhiệt độ 300 K với áp suất  thì khối lượng khí thoát ra khỏi phòng là bao nhiêu ?","0,36 kg.","0,29 kg.","0,4 kg.","0,25 kg.
Chọn D
TPVL  2.1         CĐTD Hiểu","Đáp án: 
"
9,Sóng điện từ là quá trình lan truyền của điện từ trường biến thiên trong không gian. Khi nói về quan hệ giữa điện trường và từ trường của điện từ trường trên thì kết luận nào sau đây là đúng?,Véctơ cường độ điện trường và cảm ứng từ cùng phương và cùng độ lớn.,"Tại mỗi điểm của không gian, điện trường và từ trường luôn luôn dao động ngược pha.","Tại mỗi điểm của không gian, điện trường và từ trường luôn luôn dao động lệch pha nhau π/2.","Điện trường và từ trường biến thiên theo thời gian với cùng chu kì.
Chọn D
TPVL   2.1        CĐTD Hiểu","Đáp án: 
Phân tích thành phần năng lực (Hiểu, biết, vận dụng)
Phần 2: Dạng đúng/sai"
10,"Một khung dây dẫn phẳng quay đều với tốc độ góc  quanh một trục cố định nằm trong mặt phẳng khung dây, trong một từ trường đều có vecto cảm ứng từ vuông góc với trục quay của khung. Suất điện động cảm ứng trong khung có biểu thức: (V). Tại thời diểm , vecto pháp tuyến của mặt phẳng khung dây hợp với vecto cảm ứng từ một góc",,,,"Chọn B
TPVL     2.2      CĐTD Vận dụng","Đáp án: 
"
11,Một máy biến áp có cuộn sơ cấp gồm 3300 vòng dây. Mắc cuộn sơ cấp vào mạng điện xoay chiều có hiệu điện thế hiệu dụng 220 V thì ở hai đầu cuộn thứ cấp để hở có một hiệu điện thế hiệu dụng 12 V. Bỏ qua hao phí của máy biến áp. Số vòng dây của cuộn thứ cấp bằng,360 vòng.,180 vòng.,120 vòng.,"90 vòng.
Chọn B
TPVL   3.1        CĐTD Vận dụng","Đáp án: 
"
12,Trong hình vẽ đoạn dòng điện MN đặt trong mặt phẳng chứa các đường sức từ của một từ trường đều ở các vị trí khác nhau. Độ lớn lực từ tác dụng lên đoạn dòng điện MN trong hình nào bé nhất?,Hình 4.,Hình 3.,Hình 2.,"Hình 1.
Chọn D
TPVL       2.1    CĐTD Hiểu","Đáp án: 
Phần 3: Bài tập áp dụng"
13,Tính chất cơ bản của từ trường là gây ra,Sự biến đổi về tính chất điện của môi trường xung quanh.,Lực điện trường tác dụng lên các dòng điện và nam châm đặt trong nó.,Lực hấp dẫn lên các vật đặt trong nó.,"Lực từ tác dụng lên nam châm hoặc lên dòng điện đặt trong nó.
Chọn D
TPVL   1.1        CĐTD Biết","Đáp án: 
"
14,Tia nào sau đây có cùng bản chất với tia tử ngoại?,Tia .,Tia .,Tia .,"Tia .
Chọn A
TPVL  1.2     CĐTD Hiểu","Đáp án: 
"
15,"So với hạt nhân hạt nhân thì hạt nhân , có nhiều hơn",44 neutron và 21 proton.,23 neutron và 21 proton.,44 neutron và 23 proton.,"23 neutron và 23 proton.
Chọn B
TPVL   2.2        CĐTD Hiểu","Đáp án: 
Nhận xét tổng quan về thành phần năng lực"
16,Năng lượng liên kết riêng của hạt nhân có giá trị,lớn nhất đối với các hạt nhân nhẹ.,lớn nhất đối với các hạt nhân nặng.,lớn nhất đối với các hạt nhân trung bình.,"như nhau với mọi hạt nhân.
Chọn C
TPVL   1.1        CĐTD Biết","Đáp án: 
"
17,"Chiếu 3 chùm tia thu được từ quá trình phóng xạ hạt nhân lần lượt qua tấm giấy, nhôm và chì như Hình . Các tia 1, tia 2, tia 3 theo thứ tự lần lượt là:","tia , tia , tia .","tia , tia , tia .","tia , tia , tia .","tia , tia , tia .
Chọn B
TPVL  2.1         CĐTD Hiểu","Đáp án: 
"
18,"Một ống dây hình trụ dài gồm 1000 vòng dây, diện tích mỗi vòng dây . Ống dây có điện trở , hai đầu nối đoản mạch và được đặt trong từ trường đều có vectơ cảm ứng từ song song với trục của ống dây và có độ lớn tăng đều  Công suất tỏa nhiệt của ống dây là",,,,"Chọn D
TPVL   3.2        CĐTD vận dụng","Đáp án: 
4.MA TRẬN NỘI DUNG, NĂNG LỰC VÀ CẤP ĐỘ TƯ DUY CỦA ĐỀ THAM KHẢO
MÔN: VẬT LÍ"
1,"Một trong những bệnh nghề nghiệp của thợ lặn có tỉ lệ gây tử vong và mất sức lao động cao là bệnh giảm áp. Nếu một thợ lặn từ độ sâu 25 m nổi lên mặt nước quá nhanh, Nitơ không vận chuyển kịp đến phổi giải phóng ra ngoài sẽ tích lại trong cơ thể hình thành các bọt khí gây nguy hiểm. Trong các khẳng định sau đây, câu nào đúng, sai. Giả sử sự chênh lệch nhiệt độ là không đáng kể. Cho biết khối lượng riêng của nước là
Đáp số: Đ-S-Đ-Đ
Giải
Đúng.
Đúng",,,,,"Đáp án: 
Hướng dẫn
Tổng chiều dài của các phân tử Oxi là"
2,"Quan sát mô hình loa điện động được mô tả như hình
a) Khi cho dòng điện không đổi vào hai điểm nối tín hiệu thì loa chỉ phát ra âm với tần số không đổi
b) Loa hoạt động dựa trên hiện tượng cảm ứng điện từ.
c) Khi có dòng điện chạy qua cuộn dây thì nam châm vĩnh cửu sẽ dao động làm cho màng loa dao động với tần số âm.
d) Nếu nối hai điểm nối tín hiệu vào loa với điện áp biểu diễn như Hình 18.5 thì tần số âm loa phát ra là 13333 Hz.
Giải:
a) Sai. Khi cho dòng điện không đổi vào hai điểm nối tín hiệu thì loa không kêu, do lực tác dụng lên cuộn dây là lực không đổi nên không làm cho màng loa rung được.
b) Sai. Loa điện hoạt động dựa trên tác dụng từ của nam châm lên ống dây có dòng điện chạy qua.
c) Sai. Khi có dòng điện âm chạy qua cuộn dây, cuộn dây sẽ dao động. Do cuộn dây được nối với màng loa nên các dao động này được truyền ra không khí, tác động vào người nghe.
d) Đúng.",,,,,"Đáp án: 
Giải
Thông tin sau đây được dùng cho Câu 3 và Câu 4. Một electron chuyển động trong từ trường  T chỉ do tác dụng của lực từ, theo một đường tròn có bán kính 0,91 m. Biết lực từ tác dụng lên electron có độ lớn là và"
3,"Một khối khí đựng trong xilanh có pít-tống. Đốt nóng xilanh trong thời gian đủ dài (trong quá trình đốt pít-tông không dịch chuyển).
a.Nhiệt độ khối khí tăng lên.
b. Nội năng của khối khí giảm.
c. Động năng trung bình của phân tử khí tăng.
d. Áp suất khối khí không đổi.
Đáp án a) Đúng; b) Sai; c) Đúng; d) Sai.",,,,,"Đáp án: 
"
4,"Uranium  có chu kì bán rã là  năm. Khi phóng xạ  Uranium biến thành Thorium  Ban đầu có  Uranium.
a. Hạt nhân Thorium  bền hơn hạt nhân Uranium
b. Khối lượng Uranium còn lại sau  năm là
c. Số hạt nhân Uranium còn lại sau  năm là 3,7265.1021 hạt nhân.
d. Tỉ số giữa số hạt nhân Uranium còn lại và số hạt nhân Thorium tạo thành sau năm là
Hướng dẫn giải
a. Phát biểu này đúng.
b. Phát biểu này đúng.
c. Phát biểu này sai.
Số hạt nhân Uranium ban đầu:
hạt.
Số hạt nhân Uranium còn lại sau  năm:
hạt.
d. Phát biểu này đúng.
Số hạt nhân Thorium có được là do Uranium đã phân rã, do đó
Suy ra",,,,,"Đáp án: 
a. Phát biểu này đúng.
b. Phát biểu này đúng.
c. Phát biểu này sai.
Số hạt nhân Uranium ban đầu:
hạt.
Số hạt nhân Uranium còn lại sau  năm:
hạt.
d. Phát biểu này đúng.
Số hạt nhân Thorium có được là do Uranium đã phân rã, do đó
Suy ra
PHẦN III. Thí sinh trả lời từ câu 1 đến câu viết đáp số theo quy định viết số chữ số"
1,"Một khí cầu chứa khí oxygen có thể tích là 22.4 l ở điều kiện tiêu chuẩn (0°C và 1 atm). Biết bán kính của Trái Đất là 6400 km, bán kính của phân tử oxygen là m, và . Nếu xếp tất cả các phân tử oxygen trong khí cầu thành một chuỗi dọc theo xích đạo của Trái Đất, thì chuỗi đó sẽ bao quanh Trái Đất được x.106 lần.  Tìm x (kết quả làm tròn đến 3 chữ số có nghĩa)
Hướng dẫn
Tổng chiều dài của các phân tử Oxi là",,,,,"Đáp án: 
Hướng dẫn
Tổng chiều dài của các phân tử Oxi là"
2,"Một thợ hàn dùng bình có thể tích 0,075m3  đổ đầy oxy-gen (khối lượng mol 32 g/mol) ở áp suất đo được là 4,01.105 Pa và nhiệt độ . Bình chứa có 1 kẽ hở nhỏ, theo thời gian một phần oxy sẽ rò rỉ ra ngoài. Vào một ngày khi nhiệt độ là , áp suất đo của oxy trong bình là 2,81.105Pa . Khối lượng oxy thoát ra ngoài là bao nhiêu gam
Giải
Thông tin sau đây được dùng cho Câu 3 và Câu 4. Một electron chuyển động trong từ trường  T chỉ do tác dụng của lực từ, theo một đường tròn có bán kính 0,91 m. Biết lực từ tác dụng lên electron có độ lớn là và",,,,,"Đáp án: 
Giải
Thông tin sau đây được dùng cho Câu 3 và Câu 4. Một electron chuyển động trong từ trường  T chỉ do tác dụng của lực từ, theo một đường tròn có bán kính 0,91 m. Biết lực từ tác dụng lên electron có độ lớn là và"
3,Một học sinh tính tốc độ của electron và được kết quả là  m/s. Tìm .,,,,,"Đáp án: 
"
4,"Thời gian để  chuyển động được một vòng là . Tìm (viết kết quả đến hai chữ số sau dấu phẩy thập phân).
Đáp án",,,,,"Đáp án: 
a. Phát biểu này đúng.
b. Phát biểu này đúng.
c. Phát biểu này sai.
Số hạt nhân Uranium ban đầu:
hạt.
Số hạt nhân Uranium còn lại sau  năm:
hạt.
d. Phát biểu này đúng.
Số hạt nhân Thorium có được là do Uranium đã phân rã, do đó
Suy ra
PHẦN III. Thí sinh trả lời từ câu 1 đến câu viết đáp số theo quy định viết số chữ số"
3,.,,,,,"Đáp án: 
"
4,".
Dùng thông tin sau cho Câu 5 và Câu 6:  Một nhà máy điện hạt nhân có công suất phát điện 182.107 W, dùng năng lượng phân hạch của hạt nhân với hiệu suất 30%. Trung bình mỗi hạt phân hạch tỏa ra năng lượng 200 MeV. Xét trong 365 ngày hoạt động.",,,,,"Đáp án: 
a. Phát biểu này đúng.
b. Phát biểu này đúng.
c. Phát biểu này sai.
Số hạt nhân Uranium ban đầu:
hạt.
Số hạt nhân Uranium còn lại sau  năm:
hạt.
d. Phát biểu này đúng.
Số hạt nhân Thorium có được là do Uranium đã phân rã, do đó
Suy ra
PHẦN III. Thí sinh trả lời từ câu 1 đến câu viết đáp số theo quy định viết số chữ số"
5,"Năng lượng phân hạch cần để chuyển hóa thành điện năng là  x.1017 J. Giá trị của x là bao nhiêu? (Kết quả làm tròn đến 3 chữ số có nghĩa).
Hướng dẫn giải
A = (182.107.365.3600).0,3 1,91.1017 J",,,,,"Đáp án: 
A = (182.107.365.3600).0,3 1,91.1017 J"
6,"Khối lượng hạt được tiêu thụ là bao nhiêu kg? Biết NA = 6,02.1023 .(Kết quả làm tròn đến 4 chữ số có nghĩa).
Hướng dẫn giải
Số hạt U cần cung cấp là (1,91.1017)/(200.1,6.10-13)5,97.1027 hạt
Khối lượng được tiêu thụ là (5,97.1027.235)/(6,02.1023)2330 kg
BẢNG PHÂN TÍCH CÁC CÂU HỎI TRONG ĐỀ ĐI KÈM VỚI BA THÀNH",,,,,"Đáp án: 
Số hạt U cần cung cấp là (1,91.1017)/(200.1,6.10-13)5,97.1027 hạt
Khối lượng được tiêu thụ là (5,97.1027.235)/(6,02.1023)2330 kg
BẢNG PHÂN TÍCH CÁC CÂU HỎI TRONG ĐỀ ĐI KÈM VỚI BA THÀNH PHẦN NĂNG LỰC:
NHẬN THỨC VẬT LÍ, TÌM HIỂU THẾ GIỚI TỰ NHIÊN DƯỚI GÓC ĐỘ VẬT LÍ, VÀ VẬN DỤNG KIẾN THỨC, KĨ NĂNG ĐÃ HỌC. MỖI THÀNH PHẦN SẼ ĐƯỢC PHÂN LOẠI THEO MỨC ĐỘ HIỂU, BIẾT, VÀ VẬN DỤNG.
Phân tích thành phần năng lực:"
1,Quá trình một chất rắn chuyển trực tiếp thành khí được gọi là quá trình nào?,Nóng chảy.,Hóa hơi.,Thăng hoa.,Đông đặc.,"Đáp án: C
A. Nóng chảy.	B. Hóa hơi.	C. Thăng hoa.	D. Đông đặc."
2,Biển báo nào dưới đây được sử dụng để cảnh báo khu vực có chất ăn mòn trong phòng thí nghiệm?,Hình 1.,Hình 2.,Hình 3.,"Hình 4.
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Hình bên là sơ đồ nguyên lí hoạt động của một máy lạnh. Máy lạnh sử dụng một hệ thống làm lạnh bằng chất lỏng. Chất lỏng này được bơm qua ống làm mát, nơi nó hấp thụ nhiệt từ không khí trong phòng và sau đó bay hơi thành khí. Sau đó, khí này được nén và chuyển vào dàn nóng để giải phóng nhiệt ra ngoài môi trường. Mỗi giờ có 400 kg chất lỏng được bơm qua máy. Biết nhiệt dung riêng của chất lỏng là c = 3600 J/(kgK), và nhiệt độ của chất lỏng tăng thêm 8 0C khi hấp thụ nhiệt từ không khí trong phòng.","Đáp án: D
A. Hình 1.	B. Hình 2.	C. Hình 3.	D. Hình 4.
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Hình bên là sơ đồ nguyên lí hoạt động của một máy lạnh. Máy lạnh sử dụng một hệ thống làm lạnh bằng chất lỏng. Chất lỏng này được bơm qua ống làm mát, nơi nó hấp thụ nhiệt từ không khí trong phòng và sau đó bay hơi thành khí. Sau đó, khí này được nén và chuyển vào dàn nóng để giải phóng nhiệt ra ngoài môi trường. Mỗi giờ có 400 kg chất lỏng được bơm qua máy. Biết nhiệt dung riêng của chất lỏng là c = 3600 J/(kgK), và nhiệt độ của chất lỏng tăng thêm 8 0C khi hấp thụ nhiệt từ không khí trong phòng."
3,Nhiệt độ của chất lỏng tăng bao nhiêu Kelvin khi đi qua ống làm mát?,8 K.,280 K.,268 K.,7 K.,"Đáp án: 
Ta biết rằng 1 độ Celsius (°C) tương đương với 1 Kelvin (K), do đó độ tăng nhiệt độ trong Kelvin và Celsius là như nhau. Vì nhiệt độ của chất lỏng tăng thêm 80C, nên độ tăng nhiệt độ cũng là 8,0 K."
4,Nhiệt lượng hấp thụ vào chất lỏng trong mỗi giờ là,"11,5 MJ.",640 MJ.,"2,3 MJ.",180 kJ.,"Đáp án: 
Công thức tính nhiệt lượng: Q=mcΔT
m=400 kg (khối lượng chất lỏng); c = 3600 J/(kgK (nhiệt dung riêng của chất lỏng)
ΔT=8,0 K  (độ tăng nhiệt độ)
Thay các giá trị vào công thức: Q=400×3600×8,0=11520000 J =11,52 MJ
Làm tròn đến 11,5 MJ."
5,Một khối khí lý tưởng có thể tích không đổi được làm lạnh sao cho áp suất của nó giảm một nửa. Nội năng của khối khí sẽ,tăng lên.,giảm đi.,không đổi.,tăng lên rồi giảm.,"Đáp án: 
"
6,Áp suất bên trong bóng đèn khí giảm theo mức nào khi nhiệt độ bên trong giảm từ 100°C xuống 25°C?,20%.,75%.,90%.,20%.,"Đáp án: 
Áp suất giảm tỷ lệ thuận với nhiệt độ khi giữ thể tích không đổi, từ 373 K đến 298 K, tức là giảm 20%."
7,"Gọi p, V và T  lần lượt là áp suất, thể tích và nhiệt độ tuyệt đối của một khối khí lí tưởng xác định. Biểu thức nào sau đây là đúng với định luật Boyle về khí lý tưởng?",.,​.,.,.,"Đáp án: 
"
8,"Trong phòng thí nghiệm, trong một bình thủy tinh kín ban đầu không khí có nhiệt độ là 10 °C, có áp suất bằng với áp suất khí quyển bên ngoài. Sau khi đậy nắp và đặt bình dưới ánh đèn mạnh trong một thời gian, nhiệt độ không khí trong bình tăng lên đến 80 °C. Sau đó, mở nắp bình cho khí thoát ra, sau cho áp suất khí trong bình bằng với áp suất khí quyển và giữ cho nhiệt độ khí vẫn là 800C thì đậy nắp bình lại. So với số mol khí trong bình ngay khi vừa đậy nắp, phần trăm số mol khí đã thoát ra xấp xỉ là",20%.,91%.,10%.,55%.,"Đáp án: A
Áp dụng phương trình Clapeyron:"
9,"Trong sóng điện từ, cảm ứng từ và điện trường biến thiên",cùng pha.,ngược pha.,theo chu kỳ khác nhau.,"không liên quan đến nhau.
Sử dụng các thông tin sau cho Câu 10 và Câu 11: Một khung dây dẫn phẳng có diện tích S, gồm N vòng dây quay đều với tốc độ góc ω quanh trục cố định vuông góc với cảm ứng từ B của từ trường đều (hình bên).","Đáp án: 
C. theo chu kỳ khác nhau.	D. không liên quan đến nhau.
Sử dụng các thông tin sau cho Câu 10 và Câu 11: Một khung dây dẫn phẳng có diện tích S, gồm N vòng dây quay đều với tốc độ góc ω quanh trục cố định vuông góc với cảm ứng từ B của từ trường đều (hình bên)."
10,"Nối hai đầu khung dây với bóng đèn dây tóc có điện trở R thành một mạch kín, điều gì sẽ xảy ra với bóng đèn khi khung dây quay đều?",Bóng đèn sáng liên tục với tốc độ không đổi.,Bóng đèn không sáng.,Bóng đèn sẽ sáng và nhấp nháy theo chu kì.,Bóng đèn sẽ sáng và độ sáng tăng dần.,"Đáp án: C
Khi khung dây quay đều trong từ trường, từ thông qua khung dây sẽ thay đổi tuần hoàn theo thời gian, dẫn đến việc tạo ra suất điện động cảm ứng xoay chiều trong khung dây. Suất điện động này có dạng hình sin, khiến cường độ dòng điện trong mạch xoay chiều theo thời gian. Do đó, bóng đèn sẽ sáng và nhấp nháy theo chu kỳ của dòng điện xoay chiều."
11,"Tại thời điểm suất điện động đạt giá trị cực đại trong khung dây, từ thông qua khung dây có giá trị là	A. 	B. 0.	C. 	D.",,0.,,,"Đáp án: 
Suất điện động cảm ứng  trong khung dây đạt cực đại thì .
Từ thông"
12,"Một dây dẫn thẳng có dòng điện 5 A chạy qua, đặt vuông góc với vec-tơ cảm ứng từ trong từ trường đều có độ lớn cảm ứng từ 0,2 T. Lực từ tác dụng lên đoạn dây dài 1 m là","0,1 N.",1 N.,2 N.,"0,5 N.","Đáp án: 
Lực từ tính bằng F=BIlsinθ=0,2×5×1N."
13,"Trong từ trường đều, đường sức từ có tính chất",song song và cách đều nhau.,hội tụ tại một điểm.,phân tán từ cực nam đến cực bắc.,quay quanh dây dẫn mang dòng điện.,"Đáp án: 
"
14,"Khi kĩ thuật viên chụp xương tay của bệnh nhân, máy chụp phát ra loại sóng nào để tạo hình ảnh xương?",Tia X.,Sóng siêu âm.,Sóng ánh sáng.,Tia gamma.,"Đáp án: A
A. Tia X. 	B. Sóng siêu âm.
C. Sóng ánh sáng. 	D. Tia gamma."
15,"Một hạt nhân phóng xạ α trải qua quá trình phân rã, trong đó nó phát ra một hạt α (gồm 2 proton và 2 neutron), dẫn đến sự giảm số khối của hạt nhân mẹ đi 4 đơn vị và số proton đi 2 đơn vị. Hạt nhân mới có",cùng nguyên tử số với hạt nhân ban đầu.,tăng 2 đơn vị nguyên tử số.,giảm 2 đơn vị nguyên tử số.,giảm 4 đơn vị số khối.,"Đáp án: C
A. cùng nguyên tử số với hạt nhân ban đầu.
B. tăng 2 đơn vị nguyên tử số.
C. giảm 2 đơn vị nguyên tử số.
D. giảm 4 đơn vị số khối."
16,Năng lượng liên kết riêng của hạt nhân càng lớn thì hạt nhân,càng bền vững.,dễ bị phá vỡ.,có khối lượng lớn hơn.,tỏa ra ít năng lượng khi phân rã.,"Đáp án: A
A. càng bền vững.
B. dễ bị phá vỡ.
C. có khối lượng lớn hơn.
D. tỏa ra ít năng lượng khi phân rã."
17,"Trong thí nghiệm dưới đây, một mẫu phóng xạ M được đặt trong chân không, phát ra ba loại tia phóng xạ α, β-, và γ, được cho đi qua một điện trường đều tạo ra bởi hai bản kim loại song song tích điện trái dấu. Hình bên minh họa quỹ đạo của các tia này khi chúng đi qua điện trường. Dựa trên hướng lệch của các tia trong điện trường, hãy xác định đặc điểm về điện tích của các tia này.","Tia α mang điện tích âm, tia β- mang điện tích âm, tia γ không mang điện tích.","Tia α mang điện tích dương, tia β-  mang điện tích âm, tia γ không mang điện tích.","Tia α, tia β-  và tia γ đều mang điện tích âm.","Tia α và tia β-  đều không mang điện tích, tia γ mang điện tích dương.","Đáp án: B
+Tia α (hạt nhân Helium) mang điện tích dương và sẽ lệch về phía bản âm trong điện trường.
+Tia β- (electron) mang điện tích âm và sẽ lệch về phía bản dương trong điện trường.
+Tia γ (sóng điện từ) không mang điện tích nên sẽ đi thẳng, không bị lệch trong điện trường."
18,"Khi chụp cộng hưởng từ (MRI), để đảm bảo an toàn và tránh gây nguy hiểm, cần loại bỏ các vật kim loại ra khỏi cơ thể người bệnh. Giả sử có một vòng dây dẫn kim loại nằm trong máy MRI sao cho mặt phẳng của vòng vuông góc với cảm ứng từ của từ trường do máy tạo ra khi chụp. Biết bán kính và điện trở của vòng lần lượt là 4,2 cm và 0,015 Ω. Nếu trong 0,50 s, độ lớn của cảm ứng từ này giảm đều từ 2,00 T xuống 0,50 T, thì cường độ dòng điện cảm ứng trong vòng kim loại là",,"2,8","4,5","3,1","Đáp án: A
+ Bán kính vòng là r = 4,2 cm (0,042 m).
Diện tích S của vòng dây là: S = πr2 ≈ 5,54×10−3m2
+Tính sự thay đổi từ thông ΔΦ 
Từ thông thay đổi do cảm ứng từ giảm từ 2,00 T xuống 0,50 T trong thời gian 0,50 s:
ΔΦ=(0,50−2,00)⋅5,54×10−3 ≈ −8,31×10−3Wb
+ Tính suất điện động cảm ứng ε = −ΔΦ/Δt ≈ 1,66×10−2 V 
+ Với điện trở R=0,015 Ω, dòng điện cảm ứng là: I = ε / R ≈ 1,11 A
PHẦN II. Thí sinh trả lời từ câu 1 đến câu 4. Trong mỗi ý a), b), c), d) ở mỗi câu, thí sinh chọn đúng hoặc sai."
1,"Có thể sử dụng bộ thí nghiệm (hình bên) để tìm hiểu về mối liên hệ giữa áp suất và thể tích của một lượng khí xác định ở nhiệt độ không đổi.
a) Có thể sử dụng bộ thí nghiệm (hình bên) để tìm hiểu về mối liên hệ giữa áp suất và thể tích của một lượng khí xác định ở nhiệt độ không đổi.
b) Trình tự thí nghiệm: Nén (giữ nguyên nhiệt độ) khí trong xi lanh; Ghi giá trị thể tích và giá trị áp suất khí; Lặp lại các thao tác.
c) Số phân tử khí lí tưởng đã dùng trong thí nghiệm là 4,8.1024 phân tử.
d) Với kết quả thu được ở bảng bên, có thể xem rằng công thức liên hệ áp suất theo thể tích là p⋅V=hằng số, trong đó p đo bằng bar và V đo bằng cm³.",,,,,"Đáp án: C
A. Nóng chảy.	B. Hóa hơi.	C. Thăng hoa.	D. Đông đặc."
2,"Máy Gia tốc Hạt Lớn (LHC) là máy gia tốc hạt lớn nhất và có năng lượng cao nhất thế giới, được xây dựng bởi Tổ chức Nghiên cứu Hạt nhân châu Âu (CERN) từ năm 1998 đến 2008. LHC có chu vi 27 km và sử dụng các nam châm siêu dẫn để tạo ra từ trường mạnh, giúp gia tốc các hạt proton đến năng lượng rất cao. Khi cho mẫu vào máy này, hạt có khối lượng  bị ion hóa sẽ mang điện tích . Sau đó, hạt được tăng tốc đến tốc độ  nhờ hiệu điện thế . Tiếp theo, hạt sẽ chuyển động vào vùng từ trường theo phương vuông góc với cảm ứng từ . Lực từ tác dụng lên hạt có độ lớn , có phương vuông góc với cảm ứng từ  và với vận tốc  của hạt. Bán kính quỹ đạo tròn của hạt trong vùng có từ trường là . Giả sử một hạt proton có điện tích q và khối lượng m=1,67×10−27 kg đang chuyển động tròn trong từ trường B = 5 T với bán kính quỹ đạo là r = 0,4297 m. Biết độ lớn điện tích của electron là .
a)	Điện tích của proton là âm.
b)	Từ trường có tác dụng lực lên hạt proton, giúp hạt này duy trì quỹ đạo tròn.
c)	Tốc độ của hạt proton trong từ trường là 2,05844311,4 m/s.
d)	Động năng của hạt proton là 221,125 electron-volt (eV).",,,,,"Đáp án: D
A. Hình 1.	B. Hình 2.	C. Hình 3.	D. Hình 4.
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Hình bên là sơ đồ nguyên lí hoạt động của một máy lạnh. Máy lạnh sử dụng một hệ thống làm lạnh bằng chất lỏng. Chất lỏng này được bơm qua ống làm mát, nơi nó hấp thụ nhiệt từ không khí trong phòng và sau đó bay hơi thành khí. Sau đó, khí này được nén và chuyển vào dàn nóng để giải phóng nhiệt ra ngoài môi trường. Mỗi giờ có 400 kg chất lỏng được bơm qua máy. Biết nhiệt dung riêng của chất lỏng là c = 3600 J/(kgK), và nhiệt độ của chất lỏng tăng thêm 8 0C khi hấp thụ nhiệt từ không khí trong phòng."
3,"Một nhóm học sinh tìm hiểu về mối liên hệ giữa sự thay đổi nội năng của một khối khí xác định và nhiệt độ của nó. Họ đã thực hiện các nội dung sau: (I) Chuẩn bị các dụng cụ: Xilanh có pit-tông và cảm biến nhiệt độ (hình vẽ); (II) Họ cho rằng khi làm thay đổi nội năng của khối khí trong xilanh bằng cách tăng, giảm thể tích thì nhiệt độ của khối khí thay đổi; (III) Họ đã làm thí nghiệm nén khối khí trong xilanh và thu được kết quả là nhiệt độ khối khí tăng lên; (IV) Họ kết luận rằng thí nghiệm này đã chứng minh được nội dung ở (II).
a) Việc chuẩn bị xilanh có pit-tông và cảm biến nhiệt độ trong nội dung (I) là một phần của quá trình thực hiện thí nghiệm.
b) Nhận định rằng khi làm thay đổi nội năng của khối khí bằng cách thay đổi thể tích sẽ làm nhiệt độ thay đổi là giả thuyết của nhóm học sinh.
c) Việc nén khối khí trong xilanh và quan sát nhiệt độ tăng lên đủ để nhóm học sinh kết luận rằng giả thuyết của họ.
d) Trong thí nghiệm nén khối khí, nội năng của khối khí tăng là do khối khí đã nhận công từ bên ngoài tác động vào nó.",,,,,"Đáp án: 
Ta biết rằng 1 độ Celsius (°C) tương đương với 1 Kelvin (K), do đó độ tăng nhiệt độ trong Kelvin và Celsius là như nhau. Vì nhiệt độ của chất lỏng tăng thêm 80C, nên độ tăng nhiệt độ cũng là 8,0 K."
